,scale_factor,int_measures,DS1,DS2,DST
0,0.18459797254537055,0.25,0.1320652172584895,0.03180839185734394,0.0702439559994134
1,0.2953567560725929,0.4,0.21188385768307036,0.04919620649591456,0.11478718805306116
2,0.4061155395998152,0.55,0.25672671266887775,0.05899673401128264,0.14003469446594177
3,0.5168743231270375,0.7,0.288221842133243,0.0656725061187391,0.15776710098539634
4,0.6276331066542599,0.85,0.320558410213474,0.0726342276558543,0.17595770307176475
5,0.7383918901814822,1.0,0.36030026342766935,0.08391612069793603,0.19840127770884514
6,0.8491506737087046,1.1500000000000001,0.4031596994745456,0.10041372314360046,0.22273239298789804
7,0.9599094572359269,1.3,0.4447352870062712,0.11830256378857894,0.24619624816462507
8,1.0706682407631491,1.45,0.48064005506924945,0.13563384401268982,0.26642654558523826
9,1.1814270242903715,1.6,0.5129805313641385,0.15178404657819572,0.28454875381277595
10,1.2921858078175938,1.75,0.5663667435923178,0.1684561683032794,0.3142329871629107
11,1.4029445913448162,1.9000000000000001,0.6192722454175639,0.19532353427077448,0.343845796546545
12,1.5137033748720385,2.0500000000000003,0.6583270344948843,0.21403888347497446,0.3655954765272599
13,1.624462158399261,2.2,0.6905619889940076,0.2294035444482587,0.3835813299096602
14,1.7352209419264832,2.35,0.7256577566227813,0.24605006181896746,0.4111830229305065
15,1.8459797254537056,2.5,0.7576816675303728,0.26123446813745255,0.4365582252177285
16,1.956738508980928,2.6500000000000004,0.7924608697718493,0.27799589785059586,0.4645688474753986
17,2.06749729250815,2.8,0.8304487162475377,0.2971495936016939,0.4965772707247383
18,2.1782560760353724,2.9499999999999997,0.8695973024766498,0.31754145447991117,0.5306548358230672
19,2.2890148595625948,3.1,0.9080424100673232,0.33677749383467886,0.5628008664016859
20,2.399773643089817,3.25,0.9487269246570265,0.35671552265247214,0.596120016577749
21,2.5105324266170395,3.4,0.990337686120674,0.3770759618670005,0.6301450718146067
22,2.621291210144262,3.5500000000000003,1.1199536252529996,0.396367019858449,0.6623830459968185
23,2.732049993671484,3.7,1.2167991844780568,0.44572856903317487,0.7448728891456081
24,2.8428087771987065,3.85,1.3140394733835714,0.5659246465199692,0.9457368357751863
25,2.953567560725929,4.0,1.4154107451825841,0.6140567360480633,1.0261720851135299
26,3.064326344253151,4.15,1.9794286517654485,0.9074568279950983,1.5164834300610175
27,3.1750851277803736,4.3,2.082562528375216,0.9696745897867421,1.6204577480690374
28,3.285843911307596,4.45,2.654423921199902,1.2962120420005954,2.166146116154494
