,scale_factor,int_measures,DS1,DS2,DST
0,0.33226966972971045,0.25,0.13807136154489258,0.028605184707627636,0.07354525830557167
1,0.5316314715675368,0.4000000000000001,0.29129448049735673,0.05936134001758108,0.15916506280244716
2,0.730993273405363,0.55,0.4655777957773458,0.11351147699794943,0.2577323009357675
3,0.9303550752431893,0.7000000000000001,0.5730419742281692,0.1582861187455729,0.3178496371029818
4,1.1297168770810155,0.8500000000000001,0.6450469210870253,0.19335302315808292,0.3581392472971312
5,1.3290786789188418,1.0,0.7308322328299635,0.23430483238011776,0.40601494847868297
6,1.528440480756668,1.1500000000000001,0.8108920100989425,0.2731863759248164,0.45653148406377075
7,1.7278022825944943,1.3,0.8713012840675346,0.30296180252827754,0.5062902601004317
8,1.9271640844323206,1.4500000000000002,0.9137366788240184,0.32534603039608084,0.5436973406457742
9,2.126525886270147,1.6000000000000003,0.9528071007599709,0.342593983809314,0.5725210099892747
10,2.325887688107973,1.75,0.9733408605730641,0.35190567299095665,0.5880821054752583
11,2.525249489945799,1.9,0.9754786539909861,0.35336362589602993,0.5905185425091145
12,2.724611291783625,2.05,0.9833849722441051,0.35808450184911284,0.5953514693745212
13,2.923973093621451,2.1999999999999997,1.0413985106273478,0.3946624392771173,0.6044421450073553
14,3.1233348954592772,2.3499999999999996,1.2827581232609984,0.4734264992896243,0.7911598870336424
15,3.3226966972971033,2.499999999999999,1.337129205582992,0.5780715570702523,0.9660359706845961
16,3.5220584991349293,2.649999999999999,1.3733427226039516,0.6090126782362099,1.017742780428209
17,3.7214203009727553,2.799999999999999,1.364228717879745,0.6053179546990982,0.9508464492183452
18,3.9207821028105814,2.949999999999999,1.4599510845648653,0.6322948537900627,0.998039259332097
19,4.120143904648407,3.0999999999999988,1.5700957773207143,0.6877887366974084,0.9926309848746254
20,4.319505706486233,3.2499999999999987,1.6642233231690269,0.7351544759950404,1.2285428319987148
21,4.5188675083240595,3.399999999999998,1.9584493554813438,0.8839223296278739,1.4771540915099535
22,4.7182293101618855,3.549999999999998,2.514141073122853,1.2277089232970033,2.051668114318288
